1
7*x1-log(x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
Tempo total 	| 3.92150146484375e+02	| 1.34123046875000e+02	| 3.86225585937500e+02  |
Tempo derivadas | 3.87690185546875e+02	| 5.74126220703125e+02	| 3.85018066406250e+02  |
Tempo SL 	| 4.00439453125000e+00	| 3.66455078125000e-01	| 7.45849609375000e-01  |
#

20
100*(x2-x1^2)^2+(1-x1)^2+100*(x3-x2^2)^2+(1-x2)^2+100*(x4-x3^2)^2+(1-x3)^2+100*(x5-x4^2)^2+(1-x4)^2+100*(x6-x5^2)^2+(1-x5)^2+100*(x7-x6^2)^2+(1-x6)^2+100*(x8-x7^2)^2+(1-x7)^2+100*(x9-x8^2)^2+(1-x8)^2+100*(x10-x9^2)^2+(1-x9)^2+100*(x11-x10^2)^2+(1-x10)^2+100*(x12-x11^2)^2+(1-x11)^2+100*(x13-x12^2)^2+(1-x12)^2+100*(x14-x13^2)^2+(1-x13)^2+100*(x15-x14^2)^2+(1-x14)^2+100*(x16-x15^2)^2+(1-x15)^2+100*(x17-x16^2)^2+(1-x16)^2+100*(x18-x17^2)^2+(1-x17)^2+100*(x19-x18^2)^2+(1-x18)^2+100*(x20-x19^2)^2+(1-x19)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 1.95719000000000e-01	| 1.95719000000000e-01	| 1.95719000000000e-01	| 
1            	| 2.54430653407336e-04	| 2.54430653407336e-04	| 2.13551708747690e-04	| 
2            	| 1.00772715787785e-06	| 6.08177948052424e-05	| 6.94268918980736e-05	| 
3            	| 1.43378366974566e-12	| 2.71912703970222e-05	| 5.39789639504617e-05	| 
4            	| 1.23468770177540e-22	| 1.22650497129920e-05	| 4.19540860944450e-05	| 
5            	| 			| 5.54932334457551e-06	| 3.25977550284902e-05	| 
6            	| 			| 2.51659011467456e-06	| 2.53209896370942e-05	| 
7            	| 			| 1.14316722221908e-06	| 1.96637920170056e-05	| 
8            	| 			| 5.19897406070927e-07	| 1.52672189116025e-05	| 
9            	| 			| 2.36635388716882e-07	| 1.18514006492679e-05	| 
10           	| 			| 1.07766818471303e-07	| 9.19827236085985e-06	| 
11           	| 			| 4.90971873317726e-08	| 7.13802900305595e-06	| 
12           	| 			| 2.23738760339233e-08	| 5.53851618026503e-06	| 
13           	| 			| 1.01977079766375e-08	| 4.29693076582905e-06	| 
14           	| 			| 4.64853280958376e-09	| 3.33333553718357e-06	| 
15           	| 			| 2.11916324089656e-09	| 2.58559620899375e-06	| 
16           	| 			| 9.66132554453974e-10	| 2.00543224665270e-06	| 
17           	| 			| 4.40478892969010e-10	| 1.55533874205575e-06	| 
18           	| 			| 2.00828042841923e-10	| 1.20618879912474e-06	| 
19           	| 			| 9.15653058627207e-11	| 9.35367062132650e-07	| 
Tempo total 	| 4.30299072265625e+02	| 1.43824951171875e+02	| 5.45162597656250e+02  |
